t_DVL,WX,WY,WZ,BX,BY,BZ,t_imu,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,t_filter,PN,PE,Sample period (seconds),Time Since Start of Day (seconds),No of GPS Satellites Available,Latitude (degrees),Longitude (degrees),Velocity (km/hr),Indicated Vehicle Speed (km/hr),Wheel Speed Front Left (rad/sec),Wheel Speed Front Right (rad/sec),Wheel Speed Rear Left (rad/sec),Wheel Speed Rear Right (rad/sec),Steering Angle (degrees),Yaw Rate (deg/sec),Indicated Longitudinal Acceleration (g),Indicated Lateral Acceleration (g),Heading (degrees)
2017/08/23/12:21:52.177955,-0.053,-0.114,-0.274,-0.042,-0.26,-0.374,2017/08/23/12:21:52.181008,0.26674088,-9.50068252,-0.64331624,0.045378561,0.344178928,0.073652894,0.3743,0.3448,-0.0261,2017/08/23/12:21:52.170456,21.30072406,37.43857473,0.268162,5.371141370189885,10,0.00019134678458498024,0.0003363149005569529,0.4525845777310579,0.4525845777310579,0.1257179382586272,0.1257179382586272,0.1257179382586272,0.1257179382586272,0.0,4.2199999751244235,0.027190711518858306,-0.06557759836901121,134.5515977083313
2017/08/23/12:21:52.436863,-0.082,-0.188,-0.264,-0.08,-0.217,-0.415,2017/08/23/12:21:52.433074,0.1176798,-9.34377612,-0.64331624,-0.01012291,0.349763982,0.180467045,0.3858,0.3349,-0.0026,2017/08/23/12:21:52.446444,21.28864355,37.49631032,0.252066,5.623207370189885,10,0.00019123826401365432,0.00033683354581386994,0.7383774644448461,0.7383774644448461,0.20510485123467947,0.20510485123467947,0.20510485123467947,0.20510485123467947,0.0,10.340000019697506,0.011995902140672782,-0.06557759836901121,101.81798650250064
2017/08/23/12:21:52.717669,-0.208,-0.212,-0.314,-0.083,-0.148,-0.432,2017/08/23/12:21:52.717647,-0.45502856,-9.5320638,-0.7060788,-0.058293997,0.34487706,0.2422517,0.4004,0.3137,0.033,2017/08/23/12:21:52.730442,21.27146513,37.53574009,0.284573,5.907780370189885,10,0.00019108394834710743,0.00033718774784405315,1.0691939393767624,1.0691939393767624,0.29699831649354513,0.29699831649354513,0.29699831649354513,0.29699831649354513,0.0,13.879999989869365,-0.04638415494393476,-0.07197541284403669,113.54137593722555
2017/08/23/12:21:52.972627,-0.111,0.122,-0.33,-0.071,-0.036,-0.474,2017/08/23/12:21:52.969316,-0.99635564,-9.7674234,-0.80022264,-0.0429351,0.324980307,0.138230077,0.412,0.2954,0.0632,2017/08/23/12:21:52.982434,21.26400546,37.54533925,0.251669,6.1594493701898845,10,0.00019101693729787998,0.00033727397817103844,0.5937817780969705,0.5937817780969705,0.16493938280471404,0.16493938280471404,0.16493938280471404,0.16493938280471404,0.0,7.920000013868393,-0.10156530479102956,-0.08157213455657492,127.85138497279118
2017/08/23/12:21:53.222292,-0.14,0.034,-0.33,-0.087,0.045,-0.467,2017/08/23/12:21:53.221180,-1.0591182,-10.07339088,-1.00420096,0.00418879,0.318697121,-0.049218285,0.4123,0.294,0.0897,2017/08/23/12:21:53.226619,21.26952439,37.53384802,0.251864,6.411313370189885,10,0.00019106651446280993,0.0003371707511678045,0.5186499397474178,0.5186499397474178,0.14406942770761605,0.14406942770761605,0.14406942770761605,0.14406942770761605,0.0,-2.820000005372047,-0.10796311926605504,-0.10236503160040773,295.65372730955676
2017/08/23/12:21:53.472869,-0.143,0.055,-0.203,-0.174,0.095,-0.389,2017/08/23/12:21:53.473239,-0.60408964,-10.15184408,-1.1375714,0.02268928,0.339990138,-0.050614548,0.3945,0.2976,0.1157,2017/08/23/12:21:53.470482,21.28351607,37.50697925,0.252059,6.663372370189885,10,0.00019119220328781892,0.0003369293860043119,0.5515641757764911,0.5515641757764911,0.1532122710490253,0.1532122710490253,0.1532122710490253,0.1532122710490253,0.0,-2.899999982362322,-0.06157896432212028,-0.11596038735983688,297.5078575298732
2017/08/23/12:21:53.722276,-0.2,0.095,-0.178,-0.213,0.084,-0.281,2017/08/23/12:21:53.725324,-0.54132708,-9.86941256,-1.46707484,-0.013613568,0.342084533,-0.009075712,0.379,0.2978,0.1429,2017/08/23/12:21:53.722426,21.30093878,37.45739977,0.252085,6.915457370189885,10,0.00019134871343873516,0.0003364840079949695,0.7970972337174431,0.7970972337174431,0.2214158982548453,0.2214158982548453,0.2214158982548453,0.2214158982548453,0.0,-0.5199999936762354,-0.055181149847094796,-0.1495489133537207,289.3619697010399
2017/08/23/12:21:53.993824,-0.204,0.011,-0.168,-0.252,0.049,-0.174,2017/08/23/12:21:53.993314,-0.40795664,-9.73604212,-1.44353888,-0.072256631,0.311366739,-0.071558499,0.3643,0.2989,0.1699,2017/08/23/12:21:54.010440,21.31985153,37.40404118,0.26799,7.183447370189885,10,0.0001915186087854833,0.0003360046818181818,0.7354668721295338,0.7354668721295338,0.20429635336931493,0.20429635336931493,0.20429635336931493,0.20429635336931493,0.0,-4.099999980991122,-0.04158579408766564,-0.1471497329255861,289.5166787924163
2017/08/23/12:21:54.232796,-0.214,-0.153,-0.108,-0.226,0.029,-0.132,2017/08/23/12:21:54.229709,0.25105024,-9.63405296,-1.92994872,-0.110653875,0.28937559,-0.119380521,0.3474,0.3033,0.1924,2017/08/23/12:21:54.250459,21.33400062,37.35202529,0.236395,7.419842370189885,10,0.00019164571164211283,0.00033553741726554076,0.9470463557820176,0.9470463557820176,0.26306843216167153,0.26306843216167153,0.26306843216167153,0.26306843216167153,0.0,-6.840000009372894,0.025591257900101933,-0.19673279510703365,285.2171143073708
2017/08/23/12:21:54.482803,-0.237,-0.182,-0.133,-0.187,-0.059,-0.096,2017/08/23/12:21:54.480874,0.25889556,-9.73604212,-2.06331916,-0.13962634,0.28099801,-0.108210414,0.3209,0.3027,0.2204,2017/08/23/12:21:54.494534,21.34978327,37.31232405,0.251165,7.671007370189885,10,0.00019178748895077254,0.0003351807765900108,1.0757496363001942,1.0757496363001942,0.2988193434167206,0.2988193434167206,0.2988193434167206,0.2988193434167206,0.0,-6.200000021563357,0.026390984709480123,-0.21032815086646275,291.6795744395823
