t_DVL,WX,WY,WZ,t_filter,PN,PE
t_DVL,WX,WY,WZ,t_filter,PN,PE
03:31.4,-0.234,0.307,0.022,03:31.4,37.24663011,15.38419463
03:31.6,-0.207,0.341,0.085,03:31.6,37.33467088,15.39293604
03:31.8,-0.197,0.311,0.042,03:31.8,37.4242581,15.39667837
03:32.0,-0.228,0.304,0.038,03:32.0,37.51120511,15.40166085
03:32.2,-0.229,0.157,0.075,03:32.2,37.60201569,15.40804103
03:32.4,-0.32,0.26,0.035,03:32.4,37.70393115,15.41595317
03:32.6,-0.215,0.209,0.043,03:32.6,37.78513728,15.41577344
03:32.8,-0.339,0.31,0.057,03:32.8,37.87883339,15.41607311
03:33.0,-0.366,0.276,0.062,03:33.0,37.97686096,15.41430359
03:33.2,-0.385,0.33,0.012,03:33.2,38.07862303,15.41187339
03:33.4,-0.519,0.285,0.047,03:33.4,38.18232644,15.40697304
03:33.6,-0.442,0.405,-0.047,03:33.6,38.31038267,15.39997399
03:33.8,-0.364,0.364,0.031,03:33.8,38.39028522,15.39310432
03:34.0,-0.378,0.384,0.002,03:34.0,38.49518372,15.38633907
03:34.2,-0.338,0.303,0.03,03:34.2,38.59701244,15.37720165
03:34.4,-0.347,0.26,0.046,03:34.4,38.72391778,15.36961347
03:34.6,-0.43,0.323,0.052,03:34.6,38.82850095,15.36211202
03:34.8,-0.28,0.393,0.069,03:34.8,38.93016877,15.35512463
03:35.0,-0.309,0.292,0.038,03:35.0,39.03091853,15.3513006
03:35.2,-0.278,0.184,0.048,03:35.2,39.12775713,15.3478681
03:35.4,-0.356,0.329,0.058,03:35.4,39.22465739,15.34644822
03:35.6,-0.24,0.282,0.028,03:35.6,39.32185739,15.34754528
03:35.8,-0.271,0.31,0.064,03:35.8,39.41486718,15.34899623
03:36.0,-0.212,0.288,0.014,03:36.0,39.50798094,15.35243124
03:36.2,-0.217,0.283,0.02,03:36.2,39.61141873,15.35708645
03:36.4,-0.335,0.313,0.07,03:36.4,39.69038326,15.35672066
03:36.6,-0.287,0.302,0.053,03:36.6,39.78333976,15.35866116
03:36.8,-0.203,0.351,0.074,03:36.8,39.87966558,15.36054696
03:37.0,-0.386,0.215,0.022,03:37.0,39.99693185,15.3606008
03:37.2,-0.352,0.34,-0.002,03:37.2,40.07069255,15.35933067
03:37.4,-0.299,0.314,0.007,03:37.4,40.16809357,15.35736399
03:37.6,-0.345,0.331,0.083,03:37.6,40.26462224,15.35195505
03:37.7,-0.265,0.283,-0.006,03:37.7,40.36408081,15.34678562
03:38.0,-0.362,0.343,0.045,03:38.0,40.48766302,15.33976125
03:38.2,-0.38,0.412,0.024,03:38.2,40.58570025,15.33512876
03:38.3,-0.297,0.242,0.051,03:38.3,40.6623979,15.33002864
03:38.5,-0.36,0.298,0.084,03:38.5,40.75908573,15.32576307
03:38.7,-0.276,0.26,0.063,03:38.7,40.85751646,15.32192147
03:38.9,-0.223,0.305,0.011,03:38.9,40.95669637,15.31831488
03:39.1,-0.183,0.235,0.034,03:39.2,41.07703575,15.31524155
03:39.3,-0.237,0.282,0.036,03:39.3,41.17060956,15.31507185
03:39.5,-0.289,0.411,0.104,03:39.5,41.26385518,15.31713568
03:39.7,-0.197,0.31,0.097,03:39.7,41.35641932,15.32091407
03:39.9,-0.266,0.315,0.047,03:39.9,41.45124707,15.32448606
03:40.1,-0.283,0.328,0.06,03:40.1,41.54453134,15.32881008
03:40.3,-0.26,0.393,0.05,03:40.3,41.63734979,15.33477355
03:40.5,-0.152,0.447,0.07,03:40.5,41.73009769,15.33996197
03:40.7,-0.249,0.271,0.06,03:40.7,41.82691362,15.34529413
03:40.9,-0.296,0.478,0.085,03:40.9,41.93677882,15.35475225
03:41.1,-0.294,0.217,0.094,03:41.1,42.02041329,15.35609501
03:41.3,-0.235,0.42,0.009,03:41.3,42.11927776,15.35972424
03:41.5,-0.269,0.431,0.062,03:41.5,42.22027839,15.36317964
03:41.7,-0.298,0.336,0.057,03:41.7,42.34727905,15.3640673
03:41.9,-0.264,0.238,0.099,03:41.9,42.44742908,15.3648087
03:42.1,-0.247,0.296,0.07,03:42.1,42.53580867,15.36567117
03:42.3,-0.34,0.372,0.08,03:42.3,42.64206081,15.36108499
03:42.4,-0.355,0.419,0.046,03:42.5,42.750941,15.35583132
03:42.7,-0.383,0.262,0.056,03:42.7,42.86107564,15.34944739
03:42.9,-0.434,0.336,0.056,03:42.9,42.97174346,15.34333763
03:43.1,-0.37,0.235,0.023,03:43.1,43.07952812,15.33199399
03:43.2,-0.421,0.32,0.03,03:43.3,43.19002014,15.32132538
